ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
632,"ACCIÓ SOLIDÀRIA CONTRA L'ATUR, FUNDACIÓ PRIVADA",Sociosolidàries,suport social,Riera Sant Miquel,D-01,B-01,08006,2013,93217****,acc**@**********,www.acciosolidaria.cat,41.40******,2.16******
152,AD SAN MORI,,,Av. Marquès de Sant Mori,D-04,B-29,08913,1992,93399****,,,41.44******,2.22******
82,APA CP FELIU VEGUES,Educació,ampas,C. Sírius,D-04,B-27,08914,2013,93387****,ampafeliuivegu**@********,,41.45******,2.22******
112,APA CP LLORENS Y ARTIGAS,Educació,ampas,Av. Catalunya,D-02,B-20,08917,2012,93383**** / 60691****,secretaria.ampallorensartig**@*********,,41.45******,2.23******
42,APA CP PAU PICASSO,Educació,ampas,C. Pau Picasso,D-02,B-20,08914,2013,93398****,ampapaupicass**@***********,,41.45******,2.23******
912,APA DE L'INSTITUT DE FORMACIÓ PROFESSIONAL I ENSENYAMENT SECUNDARI POMPEU FABRA,,,C. Molí de la Torre,,B-09,08915,2020,93383****,ampaiespompeufab**@*********,,,
222,APA DEL COL.LEGI NACIONAL JOSEP BOADA,,,Av. Marqués de Montroig,D-05,B-04,08912,2012,93388****,,,41.44******,2.23******
902,ASOCIACIÓN ALARAEXOTIC,,,C. Sant Josep i de Rosés,,B-03,08911,2020,60807****,alaraexot**@*********,,,
392,ASOCIACION CULTURAL ANDALUZA CASA DE UTRERA EN CATALUNYA,Culturals,tradicionals,C. Andrés Segovia,D-04,B-29,08913,2001,93383****,secretar**@****************,www.casadeutrera.com,41.44******,2.22******
442,ASOCIACIÓN DE BOMBEROS VOLUNTARIOS,Sociosolidàries,suport social,Turó Caritg,D-02,B-21,08917,2013,60835****,ab**@*******************,www.abvb.org,41.45******,2.25******
802,ASOCIACIÓN DE VECINOS INTERCULTURAL DE BADALONA,Sociosolidàries,veïnal,C. Covadonga,D-06,B-31,08918,2014,68790****,,,,
142,"ASOCIACION PADRES USUARIOS DEL CENTRO EDUC. ""NOU VENT""",Educació,ampas,Av. Marquès de Montroig,D-01,B-05,08912,1992,93389****,,,41.44******,2.23******
72,"ASPANIN, Associació pares disminuïts psíquics",Sociosolidàries,discapacitats/des,C. Sant Miquel,D-01,B-03,08911,2013,93384****,aspan**@***********,www.aspanin.cat/es/,41.45******,2.25******
782,ASSOCIACIÓ ACOMPANYA'M. ESPAI PER CRÉIXER EN FAMILIA,Sociosolidàries,infància,C. Providència,D-01,B-05,08912,2014,,info.acompany**@*********,,,
52,ASSOCIACIO ANTICS ALUMNES MARISTES-ADEMAR,Educació,ampas,C. Dos de Maig,D-01,B-01,08912,2012,93389****,badalona.adem**@************,,41.45******,2.24******
622,ASSOCIACIÓ CATALANA D'ENGINYERIA SENSE FRONTERES,Sociosolidàries,internacional,C. Germà Bernabé,D-01,B-03,08911,2020,93302****,badalo**@****************,www.esf-cat.org,41.45******,2.25******
432,ASSOCIACIÓ CATALANA PER A LA PAU,Sociosolidàries,internacional,Av. Marqués de Sant Mori,D-04,B-29,08913,2002,,a**@**********,,41.44******,2.22******
512,ASSOCIACIÓ CATALANA PRO CONSTITUCIÓ DE LA FUNDACIÓ ORIOL CARRERAS I CABEZAS,Educació,altres entitats d'educació,C. Rector,D-01,B-01,08912,2013,93384****,fundac**@********,www.oriol.c.c/fundacio,41.45******,2.24******
742,ASSOCIACIÓ CÍVICA BAETULO -CIUTADANS DE BADALONA-,,,Pl. Alcalde Xifré,,B-06,08912,2013,60721****,contac**@********************,www.ciutadansdebadalona.es,,
752,ASSOCIACIÓ CULTURAL GITANA DE SANT ROC,Culturals,activitats diverses,C. Jerez de la Frontera,D-06,B-31,08918,2012,66103****,,,,
382,ASSOCIACIÓ CULTURAL SOCA REL,Culturals,altres entitats culturals,C. Pompeu Fabra,D-01,B-12,08911,2000,93464****,soca-r**@**************,,41.46******,2.26******
