ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,ANY_CONSTITUCIO,WEB
385,ALCER (Associació per a la lluita contra les malalties del ronyó),,,2020,
145,AMNISTIA INTERNACIONAL -Secció Espanyola -,Sociosolidàries,internacional,2013,www.amnistiainternacional.org
255,APA COL·LEGI JOAN MIRO,Educació,ampas,2013,
615,"ASOCIACIÓN CULTURAL CRISTIANA DE CATALUNYA ""AGAPE""",,,2020,
205,ASOCIACION DE RADIO TORRE MENA,Culturals,comunicació,1995,
725,ASOCIACIÓN ECUATORIANA DE ECUAVOLEY EN CATALUNYA,Esportives,altres activitats esportives,2013,www.ecuavoley-cat.com
785,ASOCIACIÓN INTERNACIONAL DE WUTAOCHI & ARTES MARCIALES,Esportives,altres activitats esportives,2013,
815,ASSOCIACIÓ CASA DE ASTURIAS CAT-ASTUR BADALONA,Culturals,tradicionals,2015,
285,ASSOCIACIO CATALANA DE BRIGADISTES A NICARAGUA,Sociosolidàries,internacional,1997,www.acbn.entitatsbadalona.net
605,ASSOCIACIÓ CIENTÍFICA AIGUAZÚ,Sociosolidàries,suport social,2013,
775,"ASSOCIACIÓ CULTURAL ANDALUZA ""EL TACON DEL DUENDE""",Culturals,tradicionals,2013,
925,ASSOCIACIÓ CULTURAL L'INDEPENDENT DE BADALONA,Culturals,comunicació,2020,www.independentbadalona.cat
705,ASSOCIACIÓ D'AMISTAT ENTRE AMAZICS I CATALANS,Sociosolidàries,altres entitats sociosolidàries,2013,www.amazicsicatalans.es
675,ASSOCIACIÓ DE COMERCIANTS SANT MORI DE LLEFIÀ,Econòmiques,botiguers/res,2009,
765,ASSOCIACIÓ DE DANSA I ARTS ESCÈNIQUES LA MAREA,Culturals,dansa,2020,www. lamarea.org
295,ASSOCIACIO DE FAMILIARS DE  MALALTS  MENTALS DEL BARCELONES NORD,Sociosolidàries,suport social,1997,www.afammeban.org
315,ASSOCIACIO DE GENT GRAN DEL POMAR,Sociosolidàries,gent gran,2020,
225,ASSOCIACIO DE PUNTAIRES MONTSERRAT NIUBO DE BADALONA,Culturals,tradicionals,2013,
895,ASSOCIACIÓ DONA I CULTURA BADALONA,,,2019,
655,ASSOCIACIÓ ESPORTIVA IRIS-SOL-CASAGEMAS,Esportives,bàsquet,2013,www.futsaliris.org
465,ASSOCIACIÓ FUTBOL AMERICÀ BADALONA DRAGS,,,2013,www.badalonadrags.com
185,ASSOCIACIO JUVENIL MA OBERTA-COR OBERT,Lleure,altres entitats de lleure,2013,www.ajmacor.org/badalona
865,ASSOCIACIÓ JUVENIL SHOHOKU,Lleure,altres entitats de lleure,2020,
525,ASSOCIACIÓ LLIURE D'ALUMNES DE L'IES EUGENI D'ORS,Educació,ampas,2003,
